node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,91.72,0.97,1820.95,444.69,1809.08,57.02,68299.73,173.13
0.00,0.50,0.00,0.00,1.00,99.31,1.00,439.68,494.37,425.49,13.56,14249.95,70.96
0.00,0.50,0.00,0.00,10.00,98.33,1.00,12976.99,691.26,12969.00,393.39,367055.09,642.69
0.00,0.50,0.00,0.00,2.00,99.31,1.00,667.80,592.79,652.38,20.00,21588.33,104.90
0.00,0.50,0.00,0.00,20.00,97.04,0.99,15831.90,699.31,15825.98,480.22,452615.78,852.35
0.00,0.50,0.00,0.00,3.00,99.41,1.00,1730.91,627.98,1715.85,52.19,48962.40,182.80
0.00,0.50,0.00,0.00,5.00,99.31,1.00,6917.63,653.81,6905.86,209.47,191358.59,385.70
0.00,0.50,0.00,0.00,50.00,92.02,0.98,18180.80,721.05,18175.82,552.27,508512.00,819.20
0.00,0.50,0.00,0.00,7.00,99.01,1.00,10041.44,672.54,10031.79,304.19,282751.11,545.60
0.00,0.50,1.00,0.00,0.00,91.63,0.97,1811.24,444.83,1799.67,56.73,68313.26,174.37
0.00,0.50,1.00,0.00,1.00,97.73,0.99,571.96,429.43,559.92,18.00,19373.61,100.92
0.00,0.50,1.00,0.00,10.00,99.51,1.00,1630.55,504.46,1618.60,49.52,50530.68,363.38
0.00,0.50,1.00,0.00,2.00,99.21,1.00,399.57,447.53,388.09,12.50,13621.47,87.52
0.00,0.50,1.00,0.00,20.00,99.31,1.00,2725.94,512.21,2714.77,82.84,82437.90,350.82
0.00,0.50,1.00,0.00,3.00,99.51,1.00,447.21,465.97,434.27,13.78,14088.86,114.11
0.00,0.50,1.00,0.00,5.00,99.61,1.00,549.19,486.96,537.14,16.78,17921.20,176.15
0.00,0.50,1.00,0.00,50.00,99.01,1.00,2867.00,513.34,2856.13,87.19,88624.58,329.12
0.00,0.50,1.00,0.00,7.00,99.70,1.00,877.60,495.78,865.62,26.68,27855.67,267.82
0.00,0.50,1.00,1.00,0.00,93.69,0.98,1211.88,434.46,1199.59,38.09,45800.84,146.11
0.00,0.50,1.00,1.00,1.00,99.21,1.00,468.50,446.27,456.60,14.60,16165.47,87.20
0.00,0.50,1.00,1.00,10.00,99.41,1.00,1813.92,505.73,1801.96,55.10,56743.61,383.54
0.00,0.50,1.00,1.00,2.00,99.31,1.00,453.69,466.33,441.12,14.04,14437.12,108.55
0.00,0.50,1.00,1.00,20.00,99.41,1.00,2708.75,513.70,2697.36,82.32,84111.08,357.70
0.00,0.50,1.00,1.00,3.00,99.51,1.00,466.17,478.59,453.51,14.29,15327.35,138.50
0.00,0.50,1.00,1.00,5.00,99.61,1.00,646.21,492.28,633.44,19.65,20906.70,218.57
0.00,0.50,1.00,1.00,50.00,99.01,1.00,2879.69,513.04,2868.52,87.57,89622.93,332.99
0.00,0.50,1.00,1.00,7.00,99.61,1.00,1143.16,500.27,1130.90,34.74,35633.59,307.08
0.00,0.50,1.00,10.00,0.00,99.41,1.00,1630.36,502.63,1617.39,49.46,48129.92,360.18
0.00,0.50,1.00,10.00,1.00,99.41,1.00,1779.47,505.18,1767.39,54.04,54746.05,375.57
0.00,0.50,1.00,10.00,10.00,99.21,1.00,2688.62,513.26,2677.51,81.74,85333.59,362.27
0.00,0.50,1.00,10.00,2.00,99.51,1.00,1925.20,506.91,1913.22,58.47,59553.24,380.06
0.00,0.50,1.00,10.00,20.00,99.01,1.00,2847.13,512.73,2836.26,86.59,89726.84,335.31
0.00,0.50,1.00,10.00,3.00,99.41,1.00,2109.46,508.48,2097.85,64.07,65973.53,380.13
0.00,0.50,1.00,10.00,5.00,99.41,1.00,2376.12,511.68,2364.74,72.20,75190.84,388.35
0.00,0.50,1.00,10.00,50.00,99.01,1.00,2856.03,512.35,2845.12,86.86,88179.11,327.76
0.00,0.50,1.00,10.00,7.00,99.31,1.00,2574.75,514.10,2563.56,78.27,81043.06,373.98
0.00,0.50,1.00,2.00,0.00,98.33,1.00,661.70,448.34,648.78,20.52,24177.72,122.37
0.00,0.50,1.00,2.00,1.00,99.31,1.00,413.86,465.37,401.85,12.85,13597.35,95.11
0.00,0.50,1.00,2.00,10.00,99.51,1.00,2001.99,506.32,1990.29,60.80,61485.00,379.68
0.00,0.50,1.00,2.00,2.00,99.80,1.00,446.31,478.34,434.11,13.68,14577.51,135.32
0.00,0.50,1.00,2.00,20.00,99.31,1.00,2752.52,512.23,2741.51,83.68,84200.77,351.21
0.00,0.50,1.00,2.00,3.00,99.70,1.00,567.57,486.72,554.88,17.31,17830.63,170.67
0.00,0.50,1.00,2.00,5.00,99.70,1.00,874.78,494.93,862.27,26.55,27024.01,266.60
0.00,0.50,1.00,2.00,50.00,99.01,1.00,2897.31,512.30,2886.24,88.12,88494.06,328.96
0.00,0.50,1.00,2.00,7.00,99.51,1.00,1370.68,501.02,1358.92,41.66,42736.09,340.24
0.00,0.50,1.00,20.00,0.00,99.31,1.00,2680.93,512.36,2668.56,81.42,81799.21,358.82
0.00,0.50,1.00,20.00,1.00,99.21,1.00,2707.43,512.45,2696.12,82.30,84308.86,362.75
0.00,0.50,1.00,20.00,10.00,99.01,1.00,2851.21,513.85,2840.35,86.71,89569.44,333.30
0.00,0.50,1.00,20.00,2.00,99.41,1.00,2717.88,514.29,2706.70,82.60,84816.29,359.74
0.00,0.50,1.00,20.00,20.00,99.01,1.00,2848.72,512.87,2837.74,86.63,88084.39,328.44
0.00,0.50,1.00,20.00,3.00,99.11,1.00,2753.91,513.43,2743.03,83.74,87135.36,361.78
0.00,0.50,1.00,20.00,5.00,99.21,1.00,2774.56,514.08,2763.67,84.37,87685.95,353.37
0.00,0.50,1.00,20.00,50.00,99.01,1.00,2855.27,513.67,2844.42,86.85,89766.84,334.47
0.00,0.50,1.00,20.00,7.00,99.01,1.00,2815.15,513.31,2804.42,85.61,90158.57,353.80
0.00,0.50,1.00,3.00,0.00,99.11,1.00,532.68,463.75,519.70,16.44,18709.04,111.55
0.00,0.50,1.00,3.00,1.00,99.51,1.00,449.00,477.65,436.65,13.82,14780.11,124.30
0.00,0.50,1.00,3.00,10.00,99.41,1.00,2107.84,507.42,2096.34,64.05,65449.94,385.21
0.00,0.50,1.00,3.00,2.00,99.70,1.00,504.55,486.87,492.31,15.42,16739.34,171.98
0.00,0.50,1.00,3.00,20.00,99.21,1.00,2749.48,513.22,2738.39,83.60,85046.26,348.50
0.00,0.50,1.00,3.00,3.00,99.61,1.00,669.65,492.54,657.13,20.40,21128.14,215.96
0.00,0.50,1.00,3.00,5.00,99.61,1.00,1120.60,499.38,1108.17,34.02,34973.63,307.90
0.00,0.50,1.00,3.00,50.00,99.01,1.00,2877.61,513.23,2866.67,87.51,88849.04,329.79
0.00,0.50,1.00,3.00,7.00,99.51,1.00,1608.09,503.00,1596.36,48.84,50711.93,368.80
0.00,0.50,1.00,5.00,0.00,99.51,1.00,566.44,484.36,552.43,17.24,18162.85,157.41
0.00,0.50,1.00,5.00,1.00,99.70,1.00,587.21,491.53,574.61,17.87,18621.78,205.52
0.00,0.50,1.00,5.00,10.00,99.51,1.00,2353.64,509.84,2342.08,71.48,72815.50,374.54
0.00,0.50,1.00,5.00,2.00,99.70,1.00,815.43,495.64,802.78,24.75,25704.75,262.11
0.00,0.50,1.00,5.00,20.00,99.11,1.00,2874.01,513.54,2862.76,87.37,87095.86,348.61
0.00,0.50,1.00,5.00,3.00,99.61,1.00,1132.16,498.72,1119.65,34.38,34926.38,305.70
0.00,0.50,1.00,5.00,5.00,99.51,1.00,1622.62,503.10,1610.55,49.27,50379.51,365.37
0.00,0.50,1.00,5.00,50.00,99.01,1.00,2873.70,513.60,2862.76,87.39,88955.39,331.57
0.00,0.50,1.00,5.00,7.00,99.41,1.00,2015.93,506.16,2004.16,61.22,60664.73,377.03
0.00,0.50,1.00,50.00,0.00,99.11,1.00,2864.70,512.66,2852.33,87.03,86718.46,329.18
0.00,0.50,1.00,50.00,1.00,99.11,1.00,2855.62,513.17,2844.77,86.81,86979.66,324.86
0.00,0.50,1.00,50.00,10.00,99.01,1.00,2878.87,513.43,2867.97,87.55,87876.79,328.17
0.00,0.50,1.00,50.00,2.00,99.11,1.00,2850.64,513.19,2839.85,86.69,87248.90,331.36
0.00,0.50,1.00,50.00,20.00,99.01,1.00,2864.21,512.98,2853.55,87.11,88445.81,332.14
0.00,0.50,1.00,50.00,3.00,98.92,1.00,2892.19,512.63,2881.32,87.96,88483.24,330.02
0.00,0.50,1.00,50.00,5.00,99.01,1.00,2865.95,512.85,2855.23,87.16,88282.67,330.67
0.00,0.50,1.00,50.00,50.00,99.01,1.00,2877.82,513.49,2867.25,87.53,88455.47,329.65
0.00,0.50,1.00,50.00,7.00,99.01,1.00,2871.50,512.76,2860.78,87.32,89169.19,333.40
0.00,0.50,10.00,0.00,0.00,91.72,0.97,1814.30,445.42,1803.72,56.87,68077.38,173.78
0.00,0.50,10.00,0.00,1.00,91.63,0.97,1803.65,444.55,1794.34,56.63,67614.73,174.42
0.00,0.50,10.00,0.00,10.00,91.82,0.97,1830.99,445.66,1821.60,57.46,67833.45,172.43
0.00,0.50,10.00,0.00,2.00,91.82,0.97,1813.60,445.75,1804.36,56.93,67878.53,172.25
0.00,0.50,10.00,0.00,20.00,91.72,0.97,1816.99,445.09,1807.66,57.07,67616.29,171.54
0.00,0.50,10.00,0.00,3.00,91.82,0.97,1842.56,446.12,1833.20,57.78,68176.30,170.08
0.00,0.50,10.00,0.00,5.00,91.92,0.97,1810.95,445.59,1801.64,56.81,67187.61,170.53
0.00,0.50,10.00,0.00,50.00,92.02,0.97,1833.91,446.42,1824.62,57.51,68787.85,173.73
0.00,0.50,10.00,0.00,7.00,91.72,0.97,1785.35,444.66,1776.06,56.06,66505.79,171.70
0.00,0.50,10.00,1.00,0.00,91.72,0.97,1805.07,444.86,1794.69,56.62,68283.23,175.61
0.00,0.50,10.00,1.00,1.00,91.63,0.97,1812.31,444.90,1802.97,56.92,68366.62,172.52
0.00,0.50,10.00,1.00,10.00,91.92,0.97,1826.34,446.06,1817.00,57.30,68169.60,172.66
0.00,0.50,10.00,1.00,2.00,91.82,0.97,1810.64,445.41,1801.34,56.84,67993.51,172.47
0.00,0.50,10.00,1.00,20.00,91.92,0.97,1832.76,445.86,1823.41,57.51,68756.95,172.36
0.00,0.50,10.00,1.00,3.00,91.82,0.97,1815.37,445.87,1805.80,56.95,67737.38,170.10
0.00,0.50,10.00,1.00,5.00,91.92,0.97,1801.34,445.57,1792.08,56.53,67548.94,172.58
0.00,0.50,10.00,1.00,50.00,91.92,0.97,1825.03,445.77,1815.61,57.26,68230.34,173.16
0.00,0.50,10.00,1.00,7.00,91.72,0.97,1821.62,445.22,1812.39,57.20,68135.74,172.38
0.00,0.50,10.00,10.00,0.00,90.84,0.97,2122.71,442.13,2102.41,65.71,47524.87,141.69
0.00,0.50,10.00,10.00,1.00,90.74,0.97,2165.67,441.53,2146.20,67.06,47423.00,142.23
0.00,0.50,10.00,10.00,10.00,90.64,0.97,2164.63,441.78,2146.49,67.14,47743.03,140.63
0.00,0.50,10.00,10.00,2.00,90.84,0.97,2158.59,442.06,2140.58,66.92,48122.08,142.51
0.00,0.50,10.00,10.00,20.00,91.03,0.97,2086.45,440.46,2067.85,64.65,45864.57,141.30
0.00,0.50,10.00,10.00,3.00,90.74,0.97,2154.35,441.11,2135.91,66.76,47138.49,141.11
0.00,0.50,10.00,10.00,5.00,90.94,0.97,2180.01,442.60,2160.78,67.46,47600.35,137.56
0.00,0.50,10.00,10.00,50.00,90.74,0.97,2128.50,442.15,2110.38,66.02,47303.89,140.37
0.00,0.50,10.00,10.00,7.00,90.84,0.97,2094.87,440.88,2076.57,64.95,46584.77,140.35
0.00,0.50,10.00,2.00,0.00,90.84,0.97,2119.53,442.07,2098.93,65.58,48148.29,141.35
0.00,0.50,10.00,2.00,1.00,90.94,0.97,2101.14,441.77,2082.28,65.10,47519.08,143.58
0.00,0.50,10.00,2.00,10.00,90.74,0.97,2137.05,442.12,2115.98,66.09,48366.34,140.73
0.00,0.50,10.00,2.00,2.00,91.03,0.97,2062.17,442.02,2043.21,63.91,47515.02,139.70
0.00,0.50,10.00,2.00,20.00,90.74,0.97,2077.57,440.42,2059.56,64.45,47078.19,143.05
0.00,0.50,10.00,2.00,3.00,90.84,0.97,2080.24,442.22,2062.66,64.57,47448.64,140.55
0.00,0.50,10.00,2.00,5.00,90.84,0.97,2137.58,442.35,2119.02,66.25,48030.48,142.54
0.00,0.50,10.00,2.00,50.00,90.74,0.97,2153.10,442.18,2135.33,66.81,48925.94,143.19
0.00,0.50,10.00,2.00,7.00,90.74,0.97,2088.47,442.60,2070.52,64.81,47824.64,141.77
0.00,0.50,10.00,20.00,0.00,90.84,0.97,2120.51,441.63,2100.30,65.61,47725.29,141.96
0.00,0.50,10.00,20.00,1.00,90.84,0.97,2118.06,441.84,2099.36,65.66,47544.78,142.88
0.00,0.50,10.00,20.00,10.00,90.74,0.97,2129.77,441.58,2111.07,66.02,48234.94,144.36
0.00,0.50,10.00,20.00,2.00,90.94,0.97,2096.18,442.25,2077.52,64.99,48111.06,143.14
0.00,0.50,10.00,20.00,20.00,90.84,0.97,2143.32,442.85,2124.76,66.44,48593.68,142.67
0.00,0.50,10.00,20.00,3.00,90.94,0.97,2136.00,442.14,2116.04,66.14,48419.87,140.77
0.00,0.50,10.00,20.00,5.00,90.64,0.97,2147.36,441.72,2128.71,66.57,48174.98,142.98
0.00,0.50,10.00,20.00,50.00,91.03,0.97,2092.46,441.51,2073.57,64.85,47655.27,142.23
0.00,0.50,10.00,20.00,7.00,90.94,0.97,2133.66,443.09,2114.70,66.11,48976.33,145.12
0.00,0.50,10.00,3.00,0.00,90.74,0.97,2099.47,441.65,2080.02,65.04,47850.61,142.39
0.00,0.50,10.00,3.00,1.00,91.03,0.97,2100.52,441.98,2082.32,65.13,47567.06,140.52
0.00,0.50,10.00,3.00,10.00,90.84,0.97,2152.74,442.54,2134.86,66.77,49224.82,142.46
0.00,0.50,10.00,3.00,2.00,90.54,0.97,2105.73,441.72,2086.67,65.31,48660.51,143.66
0.00,0.50,10.00,3.00,20.00,90.74,0.97,2112.71,442.00,2094.25,65.52,48190.27,141.87
0.00,0.50,10.00,3.00,3.00,91.03,0.97,2126.21,443.01,2107.10,65.87,48272.17,140.39
0.00,0.50,10.00,3.00,5.00,90.84,0.97,2147.14,442.34,2128.23,66.52,48078.34,141.23
0.00,0.50,10.00,3.00,50.00,90.84,0.97,2094.78,442.11,2075.73,64.91,47740.17,142.71
0.00,0.50,10.00,3.00,7.00,90.84,0.97,2103.77,442.52,2085.69,65.27,48544.38,143.67
0.00,0.50,10.00,5.00,0.00,90.84,0.97,2118.82,441.92,2098.09,65.55,47198.34,140.10
0.00,0.50,10.00,5.00,1.00,91.03,0.97,2094.18,441.23,2075.48,64.86,46140.56,138.97
0.00,0.50,10.00,5.00,10.00,90.84,0.97,2159.83,441.84,2141.12,66.91,47842.03,142.35
0.00,0.50,10.00,5.00,2.00,90.84,0.97,2118.72,442.45,2100.37,65.71,47900.70,141.08
0.00,0.50,10.00,5.00,20.00,90.84,0.97,2156.00,441.73,2137.45,66.82,47666.86,139.91
0.00,0.50,10.00,5.00,3.00,91.03,0.97,2098.90,441.02,2080.39,65.03,47037.29,141.46
0.00,0.50,10.00,5.00,5.00,90.94,0.97,2127.26,440.79,2108.72,65.91,46988.60,141.81
0.00,0.50,10.00,5.00,50.00,90.74,0.97,2140.66,442.41,2120.49,66.26,47845.59,141.21
0.00,0.50,10.00,5.00,7.00,90.94,0.97,2150.33,442.70,2132.40,66.65,48275.48,141.96
0.00,0.50,10.00,50.00,0.00,91.03,0.97,2119.40,442.78,2099.09,65.57,48648.99,143.02
0.00,0.50,10.00,50.00,1.00,90.84,0.97,2123.44,441.94,2104.47,65.78,47938.68,143.12
0.00,0.50,10.00,50.00,10.00,91.03,0.97,2113.58,442.00,2095.18,65.53,48379.18,142.89
0.00,0.50,10.00,50.00,2.00,90.84,0.97,2091.62,442.59,2074.27,64.95,48246.82,143.17
0.00,0.50,10.00,50.00,20.00,90.84,0.97,2104.21,441.91,2086.00,65.28,47701.85,142.08
0.00,0.50,10.00,50.00,3.00,90.94,0.97,2122.57,442.50,2102.73,65.74,48298.17,141.95
0.00,0.50,10.00,50.00,5.00,90.74,0.97,2158.61,442.60,2140.45,66.94,48436.35,143.20
0.00,0.50,10.00,50.00,50.00,90.94,0.97,2086.01,441.05,2067.31,64.68,47265.17,141.92
0.00,0.50,10.00,50.00,7.00,90.74,0.97,2116.28,441.89,2096.60,65.58,48883.76,143.57
0.00,0.50,15.00,0.00,0.00,90.84,0.97,2123.44,440.91,2102.87,65.70,47509.46,141.68
0.00,0.50,15.00,0.00,1.00,90.84,0.97,2122.57,441.39,2103.51,65.75,47194.21,142.10
0.00,0.50,15.00,0.00,10.00,90.54,0.96,2131.94,440.17,2112.42,66.06,47884.02,140.46
0.00,0.50,15.00,0.00,2.00,90.94,0.97,2156.66,442.72,2138.54,66.86,49135.14,144.73
0.00,0.50,15.00,0.00,20.00,90.94,0.97,2162.98,441.80,2144.57,67.01,48204.18,141.94
0.00,0.50,15.00,0.00,3.00,90.74,0.97,2122.19,441.52,2102.74,65.74,47333.07,140.49
0.00,0.50,15.00,0.00,5.00,90.64,0.97,2169.96,440.49,2150.33,67.19,47875.96,141.95
0.00,0.50,15.00,0.00,50.00,90.64,0.97,2157.57,442.18,2138.36,66.85,48638.27,139.62
0.00,0.50,15.00,0.00,7.00,90.74,0.97,2102.66,440.85,2084.39,65.20,47764.47,141.45
0.00,0.50,15.00,1.00,0.00,90.94,0.97,2111.52,442.14,2091.53,65.38,48709.11,144.67
0.00,0.50,15.00,1.00,1.00,90.84,0.97,2137.29,442.37,2119.03,66.28,48489.16,143.18
0.00,0.50,15.00,1.00,10.00,91.03,0.97,2131.24,442.16,2113.26,66.07,48684.47,143.26
0.00,0.50,15.00,1.00,2.00,91.03,0.97,2082.54,441.68,2065.00,64.63,48260.58,143.09
0.00,0.50,15.00,1.00,20.00,90.94,0.97,2148.88,442.16,2131.01,66.63,48808.10,142.48
0.00,0.50,15.00,1.00,3.00,90.74,0.97,2141.00,441.72,2121.95,66.37,48738.37,142.48
0.00,0.50,15.00,1.00,5.00,90.74,0.97,2147.93,442.24,2129.78,66.60,48371.40,143.92
0.00,0.50,15.00,1.00,50.00,90.74,0.97,2120.83,441.22,2101.77,65.73,48364.81,143.46
0.00,0.50,15.00,1.00,7.00,90.84,0.97,2111.78,441.39,2091.98,65.41,48896.28,146.39
0.00,0.50,15.00,10.00,0.00,90.84,0.97,2113.07,440.97,2092.43,65.40,47999.16,140.74
0.00,0.50,15.00,10.00,1.00,90.84,0.97,2196.10,442.24,2176.87,67.99,49351.43,143.41
0.00,0.50,15.00,10.00,10.00,90.84,0.97,2124.91,442.17,2107.60,65.95,47985.12,141.55
0.00,0.50,15.00,10.00,2.00,90.74,0.97,2110.48,441.61,2093.72,65.55,48782.13,143.99
0.00,0.50,15.00,10.00,20.00,90.94,0.97,2107.22,441.75,2088.73,65.31,47690.40,142.68
0.00,0.50,15.00,10.00,3.00,90.74,0.97,2147.32,441.50,2128.98,66.58,48499.88,141.73
0.00,0.50,15.00,10.00,5.00,90.74,0.97,2143.07,441.22,2125.47,66.47,48098.07,141.73
0.00,0.50,15.00,10.00,50.00,90.84,0.97,2158.24,442.10,2140.54,66.93,48962.34,141.68
0.00,0.50,15.00,10.00,7.00,90.84,0.97,2112.81,442.13,2095.83,65.60,48763.73,143.72
0.00,0.50,15.00,2.00,0.00,91.03,0.97,2077.68,441.28,2057.20,64.30,47413.44,142.87
0.00,0.50,15.00,2.00,1.00,90.84,0.97,2146.62,442.23,2127.74,66.52,48189.56,142.79
0.00,0.50,15.00,2.00,10.00,90.84,0.97,2155.59,442.02,2137.17,66.79,48999.54,143.65
0.00,0.50,15.00,2.00,2.00,91.03,0.97,2138.90,442.97,2119.75,66.25,49351.52,143.63
0.00,0.50,15.00,2.00,20.00,90.84,0.97,2142.92,441.96,2124.69,66.42,48070.70,141.67
0.00,0.50,15.00,2.00,3.00,90.84,0.97,2120.52,441.39,2102.17,65.73,48049.62,141.97
0.00,0.50,15.00,2.00,5.00,90.84,0.97,2114.55,440.98,2096.44,65.56,47437.74,143.42
0.00,0.50,15.00,2.00,50.00,90.84,0.97,2124.95,442.00,2106.51,65.89,47815.47,142.50
0.00,0.50,15.00,2.00,7.00,90.54,0.97,2133.56,441.79,2113.61,66.08,48878.34,143.02
0.00,0.50,15.00,20.00,0.00,90.74,0.97,2120.60,441.88,2099.51,65.58,48180.82,143.68
0.00,0.50,15.00,20.00,1.00,90.84,0.97,2105.31,440.72,2086.04,65.22,47326.13,144.92
0.00,0.50,15.00,20.00,10.00,90.94,0.97,2151.98,441.99,2133.76,66.70,48362.71,142.96
0.00,0.50,15.00,20.00,2.00,90.84,0.97,2097.25,441.60,2077.69,64.98,48052.93,144.04
0.00,0.50,15.00,20.00,20.00,90.94,0.97,2139.37,441.83,2121.17,66.30,47813.93,141.11
0.00,0.50,15.00,20.00,3.00,90.94,0.97,2137.37,442.19,2117.97,66.20,48343.38,141.71
0.00,0.50,15.00,20.00,5.00,90.74,0.97,2117.00,441.39,2098.55,65.67,47389.29,141.86
0.00,0.50,15.00,20.00,50.00,90.64,0.97,2138.04,440.63,2118.48,66.23,48199.35,141.34
0.00,0.50,15.00,20.00,7.00,90.74,0.97,2160.12,441.83,2142.06,66.96,49169.47,141.91
0.00,0.50,15.00,3.00,0.00,90.74,0.97,2137.30,441.97,2117.25,66.19,48705.62,143.26
0.00,0.50,15.00,3.00,1.00,90.74,0.97,2172.29,442.44,2153.20,67.28,48414.50,142.68
0.00,0.50,15.00,3.00,10.00,90.74,0.97,2173.44,441.80,2155.32,67.39,48794.77,142.22
0.00,0.50,15.00,3.00,2.00,90.64,0.97,2134.03,441.96,2116.48,66.25,48662.98,143.12
0.00,0.50,15.00,3.00,20.00,90.84,0.97,2173.90,442.09,2155.77,67.35,48293.66,141.90
0.00,0.50,15.00,3.00,3.00,90.94,0.97,2155.21,442.50,2136.05,66.75,47914.49,140.86
0.00,0.50,15.00,3.00,5.00,90.64,0.97,2161.67,441.60,2142.66,66.96,48067.46,141.08
0.00,0.50,15.00,3.00,50.00,90.84,0.97,2148.51,441.42,2131.15,66.62,48711.44,141.08
0.00,0.50,15.00,3.00,7.00,91.03,0.97,2121.29,441.95,2103.43,65.78,48284.03,143.07
0.00,0.50,15.00,5.00,0.00,90.84,0.97,2064.08,440.81,2043.50,63.89,46832.89,142.68
0.00,0.50,15.00,5.00,1.00,91.03,0.97,2132.81,442.44,2113.75,66.04,48464.41,141.72
0.00,0.50,15.00,5.00,10.00,90.94,0.97,2160.74,441.95,2141.08,66.91,49097.90,143.44
0.00,0.50,15.00,5.00,2.00,90.84,0.97,2085.41,442.45,2065.99,64.64,48428.79,141.93
0.00,0.50,15.00,5.00,20.00,90.74,0.97,2166.55,442.09,2148.22,67.16,49465.11,143.17
0.00,0.50,15.00,5.00,3.00,90.84,0.97,2134.14,442.04,2114.86,66.14,48865.32,143.55
0.00,0.50,15.00,5.00,5.00,90.94,0.97,2138.59,442.19,2120.06,66.30,48484.38,142.37
0.00,0.50,15.00,5.00,50.00,91.13,0.97,2109.79,442.06,2090.95,65.36,48253.34,141.71
0.00,0.50,15.00,5.00,7.00,90.94,0.97,2123.14,442.15,2105.06,65.84,48915.43,145.38
0.00,0.50,15.00,50.00,0.00,90.94,0.97,2114.97,441.57,2094.56,65.42,48092.37,143.03
0.00,0.50,15.00,50.00,1.00,90.84,0.97,2171.35,442.31,2152.21,67.20,48535.10,142.92
0.00,0.50,15.00,50.00,10.00,90.84,0.97,2110.28,441.63,2092.23,65.42,47555.83,142.82
0.00,0.50,15.00,50.00,2.00,90.64,0.97,2158.90,441.86,2140.93,66.94,49496.76,144.46
0.00,0.50,15.00,50.00,20.00,90.94,0.97,2158.66,442.06,2140.02,66.81,48349.04,141.22
0.00,0.50,15.00,50.00,3.00,90.84,0.97,2137.11,442.03,2118.62,66.24,47874.53,141.38
0.00,0.50,15.00,50.00,5.00,91.03,0.97,2174.85,442.11,2156.40,67.35,48501.03,141.73
0.00,0.50,15.00,50.00,50.00,90.74,0.97,2149.42,440.38,2131.02,66.59,48607.51,143.79
0.00,0.50,15.00,50.00,7.00,90.84,0.97,2082.43,441.47,2064.44,64.59,47724.13,142.93
0.00,0.50,2.00,0.00,0.00,91.82,0.97,1800.98,445.58,1789.69,56.43,69576.29,175.66
0.00,0.50,2.00,0.00,1.00,95.57,0.99,977.68,428.62,966.94,30.81,35222.94,140.60
0.00,0.50,2.00,0.00,10.00,98.92,1.00,616.92,428.32,605.61,19.19,21209.72,122.20
0.00,0.50,2.00,0.00,2.00,98.03,0.99,582.31,427.14,571.03,18.29,20284.74,107.05
0.00,0.50,2.00,0.00,20.00,98.92,1.00,593.13,428.53,582.81,18.49,21013.17,120.73
0.00,0.50,2.00,0.00,3.00,98.92,1.00,418.06,425.07,407.73,13.18,14753.73,101.48
0.00,0.50,2.00,0.00,5.00,99.01,1.00,519.28,428.40,509.08,16.25,18613.47,118.73
0.00,0.50,2.00,0.00,50.00,98.92,1.00,608.60,428.70,598.32,18.98,21442.50,119.57
0.00,0.50,2.00,0.00,7.00,98.92,1.00,567.22,427.88,556.70,17.70,20220.40,120.21
0.00,0.50,2.00,1.00,0.00,93.40,0.98,1381.71,429.53,1370.17,43.38,52973.85,162.81
0.00,0.50,2.00,1.00,1.00,96.55,0.99,667.44,422.11,656.76,21.19,24395.87,120.96
0.00,0.50,2.00,1.00,10.00,98.92,1.00,590.22,428.42,579.85,18.43,21200.96,120.70
0.00,0.50,2.00,1.00,2.00,98.82,1.00,461.89,425.73,450.95,14.52,16041.09,97.86
0.00,0.50,2.00,1.00,20.00,99.01,1.00,601.08,428.66,590.62,18.73,20916.14,120.45
0.00,0.50,2.00,1.00,3.00,99.11,1.00,437.02,426.55,426.52,13.72,15400.75,107.87
0.00,0.50,2.00,1.00,5.00,98.92,1.00,537.58,428.53,527.04,16.80,19109.46,121.69
0.00,0.50,2.00,1.00,50.00,98.92,1.00,587.02,428.74,576.65,18.31,21209.22,120.42
0.00,0.50,2.00,1.00,7.00,98.82,1.00,562.61,428.08,552.25,17.58,20370.60,123.13
0.00,0.50,2.00,10.00,0.00,98.72,1.00,569.43,427.29,556.37,17.68,19491.26,121.70
0.00,0.50,2.00,10.00,1.00,98.82,1.00,586.72,428.37,575.89,18.32,20979.79,123.32
0.00,0.50,2.00,10.00,10.00,99.01,1.00,577.88,428.39,567.41,18.01,21053.61,120.11
0.00,0.50,2.00,10.00,2.00,98.92,1.00,592.38,428.54,581.55,18.46,21285.71,121.30
0.00,0.50,2.00,10.00,20.00,98.92,1.00,583.60,428.59,572.69,18.19,21220.30,120.93
0.00,0.50,2.00,10.00,3.00,98.92,1.00,622.12,428.68,609.91,19.28,21417.25,120.71
0.00,0.50,2.00,10.00,5.00,99.01,1.00,604.67,428.59,593.64,18.81,21361.99,119.51
0.00,0.50,2.00,10.00,50.00,98.82,1.00,599.04,428.57,587.93,18.68,21094.26,120.28
0.00,0.50,2.00,10.00,7.00,99.01,1.00,589.62,428.52,578.94,18.36,21245.97,121.64
0.00,0.50,2.00,2.00,0.00,95.27,0.98,1010.61,422.13,998.56,31.77,37783.96,135.27
0.00,0.50,2.00,2.00,1.00,98.42,1.00,510.50,425.25,499.97,16.08,18257.45,101.59
